,breed_ID,breed_name,animal_type
187,188,Patterdale Terrier / Fell Terrier,Dog
188,189,Pekingese,Dog
189,190,Pembroke Welsh Corgi,Dog
190,191,Peruvian Inca Orchid,Dog
191,192,Petit Basset Griffon Vendeen,Dog
192,193,Pharaoh Hound,Dog
193,194,Pit Bull Terrier,Dog
194,195,Plott Hound,Dog
195,196,Pointer,Dog
196,197,Polish Lowland Sheepdog,Dog
197,198,Pomeranian,Dog
198,199,Pomsky,Dog
199,200,Poodle,Dog
200,201,Portuguese Podengo,Dog
201,202,Portuguese Water Dog,Dog
202,203,Presa Canario,Dog
203,204,Pug,Dog
204,205,Puggle,Dog
205,206,Puli,Dog
206,207,Pumi,Dog
207,208,Pyrenean Shepherd,Dog
208,209,Rat Terrier,Dog
209,210,Redbone Coonhound,Dog
210,211,Retriever,Dog
211,212,Rhodesian Ridgeback,Dog
212,213,Rottweiler,Dog
213,214,Rough Collie,Dog
214,215,Saint Bernard,Dog
215,216,Saluki,Dog
216,217,Samoyed,Dog
217,218,Sarplaninac,Dog
218,219,Schipperke,Dog
219,220,Schnauzer,Dog
220,221,Schnoodle,Dog
221,222,Scottish Deerhound,Dog
222,223,Scottish Terrier,Dog
223,224,Sealyham Terrier,Dog
224,225,Setter,Dog
225,226,Shar-Pei,Dog
226,227,Sheep Dog,Dog
227,228,Sheepadoodle,Dog
228,229,Shepherd,Dog
229,230,Shetland Sheepdog / Sheltie,Dog
230,231,Shiba Inu,Dog
231,232,Shih poo,Dog
232,233,Shih Tzu,Dog
233,234,Shollie,Dog
234,235,Siberian Husky,Dog
235,236,Silky Terrier,Dog
236,237,Skye Terrier,Dog
237,238,Sloughi,Dog
238,239,Smooth Collie,Dog
239,240,Smooth Fox Terrier,Dog
240,241,South Russian Ovtcharka,Dog
241,242,Spaniel,Dog
242,243,Spanish Water Dog,Dog
243,244,Spinone Italiano,Dog
244,245,Spitz,Dog
245,246,Staffordshire Bull Terrier,Dog
246,247,Standard Poodle,Dog
247,248,Standard Schnauzer,Dog
248,249,Sussex Spaniel,Dog
249,250,Swedish Vallhund,Dog
250,251,Tennessee Treeing Brindle,Dog
